vehicle_id,make,model,trim,drivetrain,powertrain,year,condition,status,mileage,price,doc_fee_included,dealer_adjustment_included,comparable_key,source,date_collected
CAM-001,Toyota,Camry,SE,Unspecified,Hybrid,2026,New,available,0,33149,TRUE,TRUE,Toyota|Camry|SE,Dealership listing (Today's Price),2026-07-22
CAM-002,Toyota,Camry,SE,Unspecified,Hybrid,2026,New,sale_pending,0,35442,TRUE,TRUE,Toyota|Camry|SE,Dealership listing (Today's Price),2026-07-22
CAM-003,Toyota,Camry,SE,Unspecified,Hybrid,2026,New,available,0,33572,TRUE,TRUE,Toyota|Camry|SE,Dealership listing (Today's Price),2026-07-22
CAM-004,Toyota,Camry,SE,Unspecified,Hybrid,2026,New,available,0,33572,TRUE,TRUE,Toyota|Camry|SE,Dealership listing (Today's Price),2026-07-22
CAM-005,Toyota,Camry,XSE,Unspecified,Hybrid,2026,New,available,0,39995,TRUE,TRUE,Toyota|Camry|XSE,Dealership listing (Today's Price),2026-07-22
CAM-006,Toyota,Camry,XSE,Unspecified,Hybrid,2026,New,available,0,40418,TRUE,TRUE,Toyota|Camry|XSE,Dealership listing (Today's Price),2026-07-22
CAM-007,Toyota,Camry,XSE,Unspecified,Hybrid,2026,New,available,0,40566,TRUE,TRUE,Toyota|Camry|XSE,Dealership listing (Today's Price),2026-07-22
CAM-008,Toyota,Camry,XSE,Unspecified,Hybrid,2026,New,available,0,41287,TRUE,TRUE,Toyota|Camry|XSE,Dealership listing (Today's Price),2026-07-22
CAM-009,Toyota,Camry,XSE,Unspecified,Hybrid,2026,New,available,0,41596,TRUE,TRUE,Toyota|Camry|XSE,Dealership listing (Today's Price),2026-07-22
CAM-010,Toyota,Camry,XSE,Unspecified,Hybrid,2026,New,available,0,41710,TRUE,TRUE,Toyota|Camry|XSE,Dealership listing (Today's Price),2026-07-22
CAM-011,Toyota,Camry,XSE,Unspecified,Hybrid,2026,New,available,0,41934,TRUE,TRUE,Toyota|Camry|XSE,Dealership listing (Today's Price),2026-07-22
CAM-012,Toyota,Camry,XSE,Unspecified,Hybrid,2026,New,available,0,42244,TRUE,TRUE,Toyota|Camry|XSE,Dealership listing (Today's Price),2026-07-22
CAM-013,Toyota,Camry,XSE,Unspecified,Hybrid,2026,New,available,0,42366,TRUE,TRUE,Toyota|Camry|XSE,Dealership listing (Today's Price),2026-07-22
CAM-014,Toyota,Camry,XSE,Unspecified,Hybrid,2026,New,available,0,42644,TRUE,TRUE,Toyota|Camry|XSE,Dealership listing (Today's Price),2026-07-22
CAM-015,Toyota,Camry,XSE,Unspecified,Hybrid,2026,New,available,0,42812,TRUE,TRUE,Toyota|Camry|XSE,Dealership listing (Today's Price),2026-07-22
CAM-016,Toyota,Camry,SE,Unspecified,Hybrid,2026,New,in_transit,0,33572,TRUE,TRUE,Toyota|Camry|SE,Dealership listing (Today's Price),2026-07-22
CAM-017,Toyota,Camry,XSE,Unspecified,Hybrid,2026,New,in_transit,0,40864,TRUE,TRUE,Toyota|Camry|XSE,Dealership listing (Today's Price),2026-07-22
