vehicle_id,make,model,trim,drivetrain,powertrain,year,condition,status,mileage,price,doc_fee_included,dealer_adjustment_included,comparable_key,source,date_collected,retail,notes,comparable_price_median,raw_discount,discount_pct,mileage_adjusted_discount_per_10k,confidence,value_label,used_comp_count,expected_used_price,expected_price_low,expected_price_high,market_discount,market_discount_pct,market_confidence,price_label
ENT-004,Toyota,Camry,SE,Unspecified,Unspecified,2023,Used,available,36000,26431,Unknown,Unknown,Toyota|Camry|SE,Enterprise Car Sales,2026-07-17,Enterprise,"Listed as ""Camry SE Auto""; no Camry in new-inventory benchmark",33572.0,7141.0,21.3,5.92,Exact match (high confidence),Strong Value,13,28953.0,27290.0,30616.0,2522.0,8.7,High,Strong Value
ENT-008,Toyota,Camry,SE,Unspecified,Unspecified,2024,Used,available,57000,25431,Unknown,Unknown,Toyota|Camry|SE,Enterprise Car Sales,2026-07-17,Enterprise,"Listed as ""Camry SE Auto""; no Camry in new-inventory benchmark",33572.0,8141.0,24.2,4.25,Exact match (high confidence),Strong Value,13,26387.0,24172.0,28602.0,956.0,3.6,Medium,Fair Value
ENT-010,Toyota,Camry,SE,Unspecified,Unspecified,2024,Used,available,66000,25431,Unknown,Unknown,Toyota|Camry|SE,Enterprise Car Sales,2026-07-17,Enterprise,"Listed as ""Camry SE Auto""; no Camry in new-inventory benchmark",33572.0,8141.0,24.2,3.67,Exact match (high confidence),Strong Value,13,24999.0,22987.0,27011.0,-432.0,-1.7,Medium,Fair Value
ENT-011,Toyota,Camry,SE,Unspecified,Unspecified,2024,Used,available,66000,25431,Unknown,Unknown,Toyota|Camry|SE,Enterprise Car Sales,2026-07-17,Enterprise,Duplicate spec retained per source; no Camry benchmark,33572.0,8141.0,24.2,3.67,Exact match (high confidence),Strong Value,13,24999.0,22987.0,27011.0,-432.0,-1.7,Medium,Fair Value
ENT-013,Toyota,Camry,SE,Unspecified,Unspecified,2024,Used,available,46000,25499,Unknown,Unknown,Toyota|Camry|SE,Enterprise Car Sales,2026-07-17,Enterprise,"Listed as ""Camry SE Auto""; no Camry in new-inventory benchmark",33572.0,8073.0,24.0,5.22,Exact match (high confidence),Strong Value,13,27627.0,25784.0,29470.0,2128.0,7.7,Medium,Good Value
ENT-018,Toyota,Camry,XSE,Unspecified,Unspecified,2024,Used,available,63000,27499,Unknown,Unknown,Toyota|Camry|XSE,Enterprise Car Sales,2026-07-17,Enterprise,"Listed as ""Camry XSE Auto""; no Camry in new-inventory benchmark",41653.0,14154.0,34.0,5.4,Exact match (high confidence),Strong Value,1,27931.0,27931.0,27931.0,432.0,1.5,Low,Fair Value
ENT-019,Toyota,Camry,SE,Unspecified,Unspecified,2024,Used,available,56000,24999,Unknown,Unknown,Toyota|Camry|SE,Enterprise Car Sales,2026-07-17,Enterprise,"Listed as ""Camry SE Auto""; no Camry in new-inventory benchmark",33572.0,8573.0,25.5,4.55,Exact match (high confidence),Strong Value,13,26493.0,24564.0,28422.0,1494.0,5.6,Medium,Good Value
ENT-022,Toyota,Camry,SE,Unspecified,Unspecified,2024,Used,available,58000,25499,Unknown,Unknown,Toyota|Camry|SE,Enterprise Car Sales,2026-07-17,Enterprise,"Listed as ""Camry SE Auto""; no Camry in new-inventory benchmark",33572.0,8073.0,24.0,4.14,Exact match (high confidence),Strong Value,13,26261.0,24082.0,28440.0,762.0,2.9,Medium,Fair Value
ENT-023,Toyota,Camry,SE,Unspecified,Unspecified,2024,Used,available,58000,25499,Unknown,Unknown,Toyota|Camry|SE,Enterprise Car Sales,2026-07-17,Enterprise,Duplicate spec retained per source; no Camry benchmark,33572.0,8073.0,24.0,4.14,Exact match (high confidence),Strong Value,13,26261.0,24082.0,28440.0,762.0,2.9,Medium,Fair Value
ENT-027,Toyota,Camry,SE,Unspecified,Unspecified,2025,Used,available,50000,28431,Unknown,Unknown,Toyota|Camry|SE,Enterprise Car Sales,2026-07-21,Enterprise,"Listed as ""Camry SE Auto""; screenshot showed ""Coming Soon"" in Plano TX; no Camry in new-inventory benchmark",33572.0,5141.0,15.3,3.06,Exact match (high confidence),Strong Value,13,26072.0,25213.0,26931.0,-2359.0,-9.0,High,Overpriced
ENT-032,Toyota,Camry,XSE,Unspecified,Unspecified,2024,Used,available,57000,27931,Unknown,Unknown,Toyota|Camry|XSE,Enterprise Car Sales,2026-07-21,Enterprise,"Listed as ""Camry XSE Auto""; screenshot showed ""Coming Soon"" in Plano TX; no Camry in new-inventory benchmark",41653.0,13722.0,32.9,5.77,Exact match (high confidence),Strong Value,1,27499.0,27499.0,27499.0,-432.0,-1.6,Low,Fair Value
ENT-034,Toyota,Camry,SE,Unspecified,Unspecified,2025,Used,available,63000,27931,Unknown,Unknown,Toyota|Camry|SE,Enterprise Car Sales,2026-07-21,Enterprise,"Listed as ""Camry SE""; screenshot showed ""Coming Soon"" in Plano TX; no Camry in new-inventory benchmark",33572.0,5641.0,16.8,2.67,Exact match (high confidence),Strong Value,13,25328.0,23700.0,26956.0,-2603.0,-10.3,Medium,Overpriced
ENT-038,Toyota,Camry,SE,Unspecified,Unspecified,2024,Used,available,66000,24999,Unknown,Unknown,Toyota|Camry|SE,Enterprise Car Sales,2026-07-21,Enterprise,"Listed as ""Camry SE Auto"" in Arlington TX; no Camry in new-inventory benchmark",33572.0,8573.0,25.5,3.86,Exact match (high confidence),Strong Value,13,25431.0,23189.0,27673.0,432.0,1.7,Medium,Fair Value
AVIS-002,Toyota,Camry,LE,Unspecified,Unspecified,2025,Used,available,50540,23999,Unknown,Unknown,Toyota|Camry|LE,Avis Car Sales,2026-07-17,Avis,No Camry in new-inventory benchmark,,,,,No comparable found,Manual review,1,24399.0,24399.0,24399.0,400.0,1.6,Low,Fair Value
AVIS-003,Toyota,Camry,LE,Unspecified,Unspecified,2025,Used,available,47271,24399,Unknown,Unknown,Toyota|Camry|LE,Avis Car Sales,2026-07-17,Avis,No Camry in new-inventory benchmark,,,,,No comparable found,Manual review,1,23999.0,23999.0,23999.0,-400.0,-1.7,Low,Fair Value
HZ-028,Toyota,Camry,SE,Unspecified,Hybrid,2026,Used,available,39510,29916,Unknown,Unknown,Toyota|Camry|SE,Hertz Rent2Buy and In-Store,2026-07-21,Hertz,"Listed as ""Camry SE Sedan""; Bedford TX In-Store; no Camry in new-inventory benchmark",33572.0,3656.0,10.9,2.76,Exact match (high confidence),Good Value,13,26539.0,25973.0,27105.0,-3377.0,-12.7,High,Overpriced
HZ-029,Toyota,Camry,SE,Unspecified,Hybrid,2026,Used,available,31458,30810,Unknown,Unknown,Toyota|Camry|SE,Hertz Rent2Buy and In-Store,2026-07-21,Hertz,"Listed as ""Camry SE Sedan""; Bedford TX In-Store; no Camry in new-inventory benchmark",33572.0,2762.0,8.2,2.61,Exact match (high confidence),Good Value,13,26800.0,26320.0,27280.0,-4010.0,-15.0,High,Overpriced
HZ-030,Toyota,Camry,SE,Unspecified,Hybrid,2026,Used,available,27277,31244,Unknown,Unknown,Toyota|Camry|SE,Hertz Rent2Buy and In-Store,2026-07-21,Hertz,"Listed as ""Camry SE Sedan""; Bedford TX In-Store; no Camry in new-inventory benchmark",33572.0,2328.0,6.9,2.53,Exact match (high confidence),Fair Value,13,27004.0,26524.0,27484.0,-4240.0,-15.7,High,Overpriced
