vehicle_id,make,model,trim,drivetrain,powertrain,year,condition,status,mileage,price,doc_fee_included,dealer_adjustment_included,comparable_key,source,date_collected,retail,notes,comparable_price_median,raw_discount,discount_pct,mileage_adjusted_discount_per_10k,confidence,value_label,used_comp_count,expected_used_price,expected_price_low,expected_price_high,market_discount,market_discount_pct,market_confidence,price_label
ENT-002,Toyota,Corolla,LE,Unspecified,Unspecified,2024,Used,available,59000,19999,Unknown,Unknown,Toyota|Corolla|LE,Enterprise Car Sales,2026-07-17,Enterprise,"Listed as ""Corolla LE CVT""; CVT is Corolla's standard transmission not a trim",24392.0,4393.0,18.0,3.05,Exact match (high confidence),Strong Value,32,19982.0,19547.0,20417.0,-17.0,-0.1,High,Fair Value
ENT-003,Toyota,Corolla,LE,Unspecified,Unspecified,2023,Used,available,64000,18999,Unknown,Unknown,Toyota|Corolla|LE,Enterprise Car Sales,2026-07-17,Enterprise,"Listed as ""Corolla LE CVT""",24392.0,5393.0,22.1,3.45,Exact match (high confidence),Strong Value,32,19838.0,19454.0,20222.0,839.0,4.2,High,Good Value
ENT-005,Toyota,Corolla,LE,Unspecified,Unspecified,2024,Used,available,51000,20931,Unknown,Unknown,Toyota|Corolla|LE,Enterprise Car Sales,2026-07-17,Enterprise,"Listed as ""Corolla LE CVT""",24392.0,3461.0,14.2,2.78,Exact match (high confidence),Good Value,32,20261.0,19842.0,20680.0,-670.0,-3.3,High,Fair Value
ENT-006,Toyota,Corolla,LE,Unspecified,Unspecified,2024,Used,available,52000,20931,Unknown,Unknown,Toyota|Corolla|LE,Enterprise Car Sales,2026-07-17,Enterprise,"Listed as ""Corolla LE CVT""",24392.0,3461.0,14.2,2.73,Exact match (high confidence),Good Value,32,20225.0,19807.0,20643.0,-706.0,-3.5,High,Fair Value
ENT-007,Toyota,Corolla,LE,Unspecified,Unspecified,2022,Used,available,55000,19231,Unknown,Unknown,Toyota|Corolla|LE,Enterprise Car Sales,2026-07-17,Enterprise,"Listed as ""Corolla LE CVT""",24392.0,5161.0,21.2,3.85,Exact match (high confidence),Strong Value,32,20133.0,19739.0,20527.0,902.0,4.5,High,Good Value
ENT-009,Toyota,Corolla,SE,Unspecified,Unspecified,2024,Used,available,64000,21931,Unknown,Unknown,Toyota|Corolla|SE,Enterprise Car Sales,2026-07-17,Enterprise,"Listed as ""Corolla SE CVT""",26650.0,4719.0,17.7,2.77,Exact match (high confidence),Strong Value,0,,,,,,Manual review,Manual review
ENT-012,Toyota,Corolla,LE,Unspecified,Unspecified,2024,Used,available,68000,19931,Unknown,Unknown,Toyota|Corolla|LE,Enterprise Car Sales,2026-07-17,Enterprise,"Listed as ""Corolla LE CVT""",24392.0,4461.0,18.3,2.69,Exact match (high confidence),Strong Value,32,19645.0,19210.0,20080.0,-286.0,-1.5,High,Fair Value
ENT-014,Toyota,Corolla,LE,Unspecified,Unspecified,2024,Used,available,57000,19999,Unknown,Unknown,Toyota|Corolla|LE,Enterprise Car Sales,2026-07-17,Enterprise,"Listed as ""Corolla LE CVT""",24392.0,4393.0,18.0,3.16,Exact match (high confidence),Strong Value,32,20068.0,19623.0,20513.0,69.0,0.3,High,Fair Value
ENT-015,Toyota,Corolla,LE,Unspecified,Unspecified,2024,Used,available,58000,19999,Unknown,Unknown,Toyota|Corolla|LE,Enterprise Car Sales,2026-07-17,Enterprise,"Listed as ""Corolla LE CVT""",24392.0,4393.0,18.0,3.1,Exact match (high confidence),Strong Value,32,20034.0,19589.0,20479.0,35.0,0.2,High,Fair Value
ENT-016,Toyota,Corolla,LE,Unspecified,Unspecified,2024,Used,available,59000,19999,Unknown,Unknown,Toyota|Corolla|LE,Enterprise Car Sales,2026-07-17,Enterprise,"Listed as ""Corolla LE CVT""",24392.0,4393.0,18.0,3.05,Exact match (high confidence),Strong Value,32,19982.0,19547.0,20417.0,-17.0,-0.1,High,Fair Value
